severity,code,sheet,excel_row,allocator_or_lps,vehicle_or_entity,message,suggestion
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,35,Botswana Public Officers Pension Fund (BPOPF),Various,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,39,Fundo Soberano de Angola (FSDEA),Gemcorp-FSDEA Pan-African Infrastructure Fund,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,41,Fundo Soberano de Angola (FSDEA),Diversified portfolio incl. private equity funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,50,FSD Djibouti,Domestic strategic partnerships,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,54,PIC (South Africa),Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,55,Seychelles Pension Fund,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,56,Ghana Infrastructure Investment Fund (GIIF),Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,57,National Pension Fund (NPF) Mauritius,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,58,National Savings Fund (NSF) Mauritius,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,59,CNPS Cameroon,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,60,CDC Gabon (State pension fund of Gabon),Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,61,Government of Côte d'Ivoire,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,62,Government of Sierra Leone,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,63,Government of Egypt,Africa Finance Corporation (AFC),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,99,Social Security and National Insurance Trust (SSNIT),Canada Investment Fund for Africa (CIFA),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,100,Social Security and National Insurance Trust (SSNIT),ECP Africa Fund III,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,101,Social Security and National Insurance Trust (SSNIT),Pan-African Infrastructure Development Fund (PAIDF),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,102,Social Security and National Insurance Trust (SSNIT),Fidelity Equity Fund II,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,103,Botswana Public Officers Pension Fund (BPOPF),Thusano Capital Infrastructure Fund (BPOPF mandate),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,111,Caisse Nationale de Prévoyance Sociale (CNPS-CI),Amethis fund (unspecified; likely Amethis West Africa),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,MULTI_VEHICLE_LABEL,Commitments Database,3,PIC (mgr for GEPF),Helios Investors II / III / IV (historical),Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,15,Stanbic IBTC Pension Managers,Multiple funds,Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,16,ARM Pension Managers (Access ARM Pensions),ARM-Harith funds (intra-group affiliate),Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,23,Caisse de Dépôt et de Gestion (CDG),Mediterrania Capital II/III (historical),Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,27,Government Institutions Pension Fund (GIPF),"77 indirect funds (covering PE, VC, private credit, infra, RE)",Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,29,Government Institutions Pension Fund (GIPF),"Eos Capital funds (Allegrow, Euphrates, etc.)",Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,80,Nigerian PFAs (historical cohort),CAPE I-IV (Capital Alliance Private Equity),Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Commitments Database,104,Government Institutions Pension Fund (GIPF),"South Suez Africa Fund (I, II + Managed Accounts)",Vehicle/client label appears to collapse multiple vehicles into one row.,Split into fund-specific rows or mark as historical aggregate and exclude from vehicle/network counts.
medium,MULTI_VEHICLE_LABEL,Funds & LP Co-Investors,14,"PIC South Africa (historical, recurring)",Helios Investors II/III/IV (historical),Vehicle label appears to collapse multiple vehicles into one row.,Split into discrete vehicles where source evidence allows.
medium,MULTI_VEHICLE_LABEL,Funds & LP Co-Investors,16,CDG Morocco (historical LP),Mediterrania Capital II / III / IV,Vehicle label appears to collapse multiple vehicles into one row.,Split into discrete vehicles where source evidence allows.
medium,MULTI_VEHICLE_LABEL,Funds & LP Co-Investors,30,Nigerian PFAs (categorical historical disclosure; ACA explicitly 'championed PE inclusion as allowable Nigerian pension asset class'),Capital Alliance Private Equity I-IV (CAPE),Vehicle label appears to collapse multiple vehicles into one row.,Split into discrete vehicles where source evidence allows.
medium,MULTI_VEHICLE_LABEL,Funds & LP Co-Investors,44,Government Institutions Pension Fund (GIPF),"South Suez Africa Fund (I, II + Managed Accounts)",Vehicle label appears to collapse multiple vehicles into one row.,Split into discrete vehicles where source evidence allows.
medium,NON_VEHICLE_IN_FUNDS_SHEET,Funds & LP Co-Investors,39,NSIA Nigeria,MedServe oncology and diagnostics expansion,Fund co-investor sheet row is direct/platform/aggregate and is not eligible for Vehicles & Instruments display.,Move to a direct-investments/reference tab or keep excluded from vehicle counts and network nodes.
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,2,PIC (mgr for GEPF),Africa50,Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,8,GEPF (via PIC),Africa50,Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,23,Caisse de Dépôt et de Gestion (CDG),Mediterrania Capital II/III (historical),Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,47,Social Security and National Insurance Trust (SSNIT),"Direct stakes in Ghanaian banks, agribusiness, real estate",Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,54,PIC (South Africa),Africa Finance Corporation (AFC),Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,SOURCE_MISMATCH_POSSIBLE,Commitments Database,60,CDC Gabon (State pension fund of Gabon),Africa Finance Corporation (AFC),Linked source text has very little token overlap with the row.,"Manually confirm the source supports the allocator, vehicle/client, and commitment claim."
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,4,"Axis Pension Trust (USD 5m, 2026)",Growth Investment Partners (GIP) Ghana,Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,5,NAPSA Zambia (USD 17.5m),Growth Investment Partners (GIP) Zambia,Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,16,CDG Morocco (historical LP),Mediterrania Capital II / III / IV,Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,22,"PIC SA (USD 100m, 2022), Seychelles Pension Fund, Mauritius NPF + NSF, GIIF Ghana, CNPS Cameroon, CDC Gabon, Côte d'Ivoire, Sierra Leone, Egypt (2024), Rawbank DRC",Africa Finance Corporation (AFC) — equity shareholders,Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,26,Mohammed VI Fund itself (the allocator),Mohammed VI Fund for Investment,Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
medium,VEHICLE_WITHOUT_CONFIRMED_COMMITMENT,Funds & LP Co-Investors,27,NSIA (the SWF itself),"Nigeria Infrastructure Fund (NIF, NSIA sub-fund)",Vehicle row has no matching confirmed commitment row.,Confirm whether the vehicle should remain visible or move to Pipeline/Omission Candidates.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,6,PIC (mgr for GEPF),Isibaya developmental investments portfolio,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,7,Eskom Pension and Provident Fund (EPPF),Multiple PE funds,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,15,Stanbic IBTC Pension Managers,Multiple funds,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,19,The Sovereign Fund of Egypt (TSFE),Various Gulf-Egypt platforms,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,27,Government Institutions Pension Fund (GIPF),"77 indirect funds (covering PE, VC, private credit, infra, RE)","Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,35,Botswana Public Officers Pension Fund (BPOPF),Various,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,37,NSSF Uganda,"~20% alternatives portfolio (mostly RE, growing infra/PE)","Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,41,Fundo Soberano de Angola (FSDEA),Diversified portfolio incl. private equity funds,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,43,FONSIS,"Strategic projects portfolio (Teyliom Industries, agribusiness, hospitality)","Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,44,Agaciro Development Fund (AgDF),Domestic strategic investments,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,46,Social Security and National Insurance Trust (SSNIT),"Alternatives portfolio (real estate, PE, direct equity)","Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,47,Social Security and National Insurance Trust (SSNIT),"Direct stakes in Ghanaian banks, agribusiness, real estate","Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,50,FSD Djibouti,Domestic strategic partnerships,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,AGGREGATE_PORTFOLIO_LABEL,Commitments Database,82,Asset Owners Forum of South Africa (AOFSA),SA infrastructure + alts mandates,"Label appears to describe an aggregate portfolio, not a discrete vehicle/client.",Confirm whether this should remain in commitments or be moved to an analytical/reference tab.
low,POSSIBLE_DUPLICATE_LABEL,Commitments Database,13,Nigeria Sovereign Investment Authority (NSIA),Capital Alliance Private Equity (CAPE) funds,Similar normalized labels appear in this sheet: CAPE I-IV (Capital Alliance Private Equity) | Capital Alliance Private Equity (CAPE) funds.,"Confirm whether these are aliases, duplicates, or genuinely distinct vehicles/entities."
low,POSSIBLE_DUPLICATE_LABEL,Commitments Database,80,Nigerian PFAs (historical cohort),CAPE I-IV (Capital Alliance Private Equity),Similar normalized labels appear in this sheet: CAPE I-IV (Capital Alliance Private Equity) | Capital Alliance Private Equity (CAPE) funds.,"Confirm whether these are aliases, duplicates, or genuinely distinct vehicles/entities."
